DR,Date,Month,Year,Block,Type,Week_Num,Number,Street,Address,Lat,Lon,Type_Num
1514167,2015-10-02,10,2015,0 Blk BEECHWOOD                                                                       ,Vehicle,40,0,BEECHWOOD,"0 BEECHWOOD, Irvine, CA",33.6780406,-117.79387709999999,0
1514207,2015-10-03,10,2015,0 Blk VASSAR AISLE,Package,40,0,VASSAR AISLE,"0 VASSAR AISLE, Irvine, CA",33.653744200000006,-117.838187,1
1514304,2015-10-05,10,2015,0 Blk GRAMERCY,Package,41,0,GRAMERCY,"0 GRAMERCY, Irvine, CA",33.676069399999996,-117.8476015,1
1514341,2015-10-06,10,2015,0 Blk TALL CEDARS,Package,41,0,TALL CEDARS,"0 TALL CEDARS, Irvine, CA",33.6898389,-117.74790790000002,1
1514393,2015-10-07,10,2015,18200 Blk MCDURMOTT W                                                                     ,Vehicle,41,18200,MCDURMOTT W,"18200 MCDURMOTT W, Irvine, CA",33.6899626,-117.86742179999999,0
1514399,2015-10-07,10,2015,15400 Blk JEFFREY RD                                                                      ,Vehicle,41,15400,JEFFREY RD,"15400 JEFFREY RD, Irvine, CA",33.680875,-117.7772659,0
1514388,2015-10-07,10,2015,18000 Blk CULVER DR                                                                       ,Vehicle,41,18000,CULVER DR,"18000 CULVER DR, Irvine, CA",33.663667499999995,-117.82740659999999,0
1514413,2015-10-07,10,2015,5600 Blk ALTON PKWY                                                                      ,Vehicle,41,5600,ALTON PKWY,"5600 ALTON PKWY, Irvine, CA",33.668958,-117.78729550000001,0
1514455,2015-10-08,10,2015,0 Blk EAGLE RUN                                                                       ,Vehicle,41,0,EAGLE RUN,"0 EAGLE RUN, Irvine, CA",33.6760838,-117.81326969999999,0
1514446,2015-10-08,10,2015,0 Blk ENTRADA W                                                                       ,Vehicle,41,0,ENTRADA W,"0 ENTRADA W, Irvine, CA",33.7190271,-117.75506920000001,0
1514436,2015-10-08,10,2015,0 Blk DARTMOUTH                                                                       ,Vehicle,41,0,DARTMOUTH,"0 DARTMOUTH, Irvine, CA",33.6499679,-117.82801880000001,0
1514509,2015-10-09,10,2015,16200 Blk MIRASOL                                                                         ,Garage,41,16200,MIRASOL,"16200 MIRASOL, Irvine, CA",33.702974600000005,-117.742756,2
1514564,2015-10-10,10,2015,0 Blk EASTSHORE                                                                       ,Vehicle,41,0,EASTSHORE,"0 EASTSHORE, Irvine, CA",33.6788977,-117.79213119999999,0
